"Z-Score","Cumulative Probability P(Z≤z)","Right Tail P(Z>z)","Percentile (%)","Two-Tail Confidence"
2.12,0.983,0.0170,98.30,-
2.13,0.9834,0.0166,98.34,-
2.14,0.9838,0.0162,98.38,-
2.15,0.9842,0.0158,98.42,-
2.16,0.9846,0.0154,98.46,-
2.17,0.985,0.0150,98.50,-
2.18,0.9854,0.0146,98.54,-
2.19,0.9857,0.0143,98.57,-
2.2,0.9861,0.0139,98.61,-
2.21,0.9864,0.0136,98.64,-
2.22,0.9868,0.0132,98.68,-
2.23,0.9871,0.0129,98.71,-
2.24,0.9875,0.0125,98.75,-
2.25,0.9878,0.0122,98.78,-
2.26,0.9881,0.0119,98.81,-
2.27,0.9884,0.0116,98.84,-
2.28,0.9887,0.0113,98.87,-
2.29,0.989,0.0110,98.90,-
2.3,0.9893,0.0107,98.93,-
2.31,0.9896,0.0104,98.96,-
2.32,0.9898,0.0102,98.98,-
2.33,0.9901,0.0099,99.01,-
2.34,0.9904,0.0096,99.04,-
2.35,0.9906,0.0094,99.06,-
2.36,0.9909,0.0091,99.09,-
2.37,0.9911,0.0089,99.11,-
2.38,0.9913,0.0087,99.13,-
2.39,0.9916,0.0084,99.16,-
2.4,0.9918,0.0082,99.18,-
2.41,0.992,0.0080,99.20,-
2.42,0.9922,0.0078,99.22,-
2.43,0.9925,0.0075,99.25,-
2.44,0.9927,0.0073,99.27,-
2.45,0.9929,0.0071,99.29,-
2.46,0.9931,0.0069,99.31,-
2.47,0.9932,0.0068,99.32,-
2.48,0.9934,0.0066,99.34,-
2.49,0.9936,0.0064,99.36,-
2.5,0.9938,0.0062,99.38,-
2.51,0.994,0.0060,99.40,-
2.52,0.9941,0.0059,99.41,-
2.53,0.9943,0.0057,99.43,-
2.54,0.9945,0.0055,99.45,-
2.55,0.9946,0.0054,99.46,-
2.56,0.9948,0.0052,99.48,-
2.57,0.9949,0.0051,99.49,-
2.58,0.9951,0.0049,99.51,99%
2.59,0.9952,0.0048,99.52,-
2.6,0.9953,0.0047,99.53,-
2.61,0.9955,0.0045,99.55,-
2.62,0.9956,0.0044,99.56,-
2.63,0.9957,0.0043,99.57,-
2.64,0.9959,0.0041,99.59,-
2.65,0.996,0.0040,99.60,-
2.66,0.9961,0.0039,99.61,-
2.67,0.9962,0.0038,99.62,-
2.68,0.9963,0.0037,99.63,-
2.69,0.9964,0.0036,99.64,-
2.7,0.9965,0.0035,99.65,-
2.71,0.9966,0.0034,99.66,-
2.72,0.9967,0.0033,99.67,-
2.73,0.9968,0.0032,99.68,-
2.74,0.9969,0.0031,99.69,-
2.75,0.997,0.0030,99.70,-
2.76,0.9971,0.0029,99.71,-
2.77,0.9972,0.0028,99.72,-
2.78,0.9973,0.0027,99.73,-
2.79,0.9974,0.0026,99.74,-
2.8,0.9974,0.0026,99.74,-
2.81,0.9975,0.0025,99.75,-
2.82,0.9976,0.0024,99.76,-
2.83,0.9977,0.0023,99.77,-
2.84,0.9977,0.0023,99.77,-
2.85,0.9978,0.0022,99.78,-
2.86,0.9979,0.0021,99.79,-
2.87,0.9979,0.0021,99.79,-
2.88,0.998,0.0020,99.80,-
2.89,0.9981,0.0019,99.81,-
2.9,0.9981,0.0019,99.81,-
2.91,0.9982,0.0018,99.82,-
2.92,0.9982,0.0018,99.82,-
2.93,0.9983,0.0017,99.83,-
2.94,0.9984,0.0016,99.84,-
2.95,0.9984,0.0016,99.84,-
2.96,0.9985,0.0015,99.85,-
2.97,0.9985,0.0015,99.85,-
2.98,0.9986,0.0014,99.86,-
2.99,0.9986,0.0014,99.86,-
3,0.9987,0.0013,99.87,-
3.1,0.999,0.0010,99.90,-
3.2,0.9993,0.0007,99.93,-
3.3,0.9995,0.0005,99.95,-
3.4,0.9997,0.0003,99.97,-
3.5,0.9998,0.0002,99.98,-
3.6,0.9998,0.0002,99.98,-
3.7,0.9999,0.0001,99.99,-
3.8,0.9999,0.0001,99.99,-
3.9,1,0.0000,100.00,-
